embedded_id_ballot_id,embedded_id_intressent_id,embedded_id_concern,embedded_id_issue,party,first_name,last_name,gender,born_year,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,vote,won,rebel,party_won,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,ballot_type,rm,label,vote_date,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
2843A999-91C9-47F2-836B-5B718056BDE7,0103812031214,SAKFRÅGAN,7,S,Gunnar,Sandberg,MAN,1966,1958,349,140,128,0,81,t,NEJ,f,f,f,f,40.11,36.68,23.21,0.00,53.01,HUVUD,2007/08,SfU2,2007-12-06,1958,130,0,98,0,32,f,f,0.00,75.38,24.62,0.00,49.23
152D3C16-40E3-4C07-B443-5B1EBFB8D6D8,0369212790927,SAKFRÅGAN,3,S,Sofia,Skönnbrink,KVINNA,1991,1975,349,217,64,21,47,t,JA,t,f,t,f,62.18,18.34,13.47,6.02,53.01,HUVUD,2022/23,FiU34,2023-03-29,1975,107,93,0,0,14,t,f,86.92,0.00,13.08,0.00,47.66
E9E160B4-744C-4CDA-A11C-88B68205CC22,091303475611,SAKFRÅGAN,5,SD,Eric,Palmqvist,MAN,1970,1975,349,189,89,0,71,t,JA,t,f,t,f,54.15,25.50,20.34,0.00,52.44,HUVUD,2023/24,FöU6,2024-02-07,1976,72,62,0,0,10,t,f,86.11,0.00,13.89,0.00,73.61
333AAEA6-18B9-4C7D-A35A-FFA7A58D14C3,0371688419616,MOTIVFRÅGAN,1,V,Lars,Ohly,MAN,1957,1959,349,143,130,0,76,t,NEJ,f,f,f,f,40.97,37.25,21.78,0.00,51.86,HUVUD,2008/09,SoU18,2009-03-02,1958,22,1,17,0,4,f,f,4.55,77.27,18.18,0.00,36.36
B735E5A5-4154-4AAC-B264-8241DCAEDC4B,0575283695521,SAKFRÅGAN,7,M,Helena,Antoni,KVINNA,1995,1973,349,46,4,5,294,t,FRÅNVARANDE,f,f,t,f,13.18,1.15,84.24,1.43,52.44,HUVUD,2019/20,KrU10,2020-04-29,1973,70,11,0,0,59,t,f,15.71,0.00,84.29,0.00,45.71
F5565E39-4B9B-4F74-A2B7-D6E4C537AFD9,0928223863802,SAKFRÅGAN,50,V,Berit,Jóhannesson,KVINNA,1946,1954,349,197,104,0,48,t,JA,t,f,t,f,56.45,29.80,13.75,0.00,54.73,HUVUD,2003/04,SFU1,2003-11-25,1953,30,24,0,0,6,t,f,80.00,0.00,20.00,0.00,50.00
7B538452-F47C-4F4E-A4BA-8115ACD196C0,0552248175312,SAKFRÅGAN,2,S,Berit,Högman,KVINNA,1958,1954,349,175,135,0,39,t,JA,t,f,t,f,50.14,38.68,11.17,0.00,54.15,HUVUD,2004/05,SFU18,2005-08-22,1954,144,129,0,0,15,t,f,89.58,0.00,10.42,0.00,50.69
7357CF09-6E96-4BD6-B4D6-2912E919C48B,0679228585116,SAKFRÅGAN,5,C,Per,Åsling,MAN,1957,1958,349,278,20,0,51,t,JA,t,f,t,f,79.66,5.73,14.61,0.00,52.72,HUVUD,2007/08,SkU20,2008-02-26,1955,29,25,0,0,4,t,f,86.21,0.00,13.79,0.00,58.62
1433BC12-D0C3-469E-97A1-F1F0D3D1B5DA,0825441263617,SAKFRÅGAN,4,V,Birger,Lahti,MAN,1964,1973,349,51,5,0,293,t,FRÅNVARANDE,f,f,t,f,14.61,1.43,83.95,0.00,53.01,HUVUD,2020/21,SoU30,2021-06-15,1974,27,4,0,0,23,t,f,14.81,0.00,85.19,0.00,29.63
35C81D31-CE95-4AE5-AB9D-6033500BF0BE,0204240926023,SAKFRÅGAN,8,SD,Markus,Wiechel,MAN,1988,1973,349,234,27,42,46,t,FRÅNVARANDE,f,f,t,f,67.05,7.74,13.18,12.03,52.44,HUVUD,2021/22,UbU27,2022-06-21,1976,61,53,0,0,8,t,f,86.89,0.00,13.11,0.00,75.41
A0298D8B-EBDF-42AB-BB01-98C8AE53A828,0866055333028,SAKFRÅGAN,22,M,Alexandra,Anstrell,KVINNA,1974,1975,349,234,63,0,52,t,JA,t,f,t,f,67.05,18.05,14.90,0.00,55.59,HUVUD,2024/25,SfU20,2025-05-15,1976,68,59,0,0,9,t,f,86.76,0.00,13.24,0.00,51.47
50759B00-741C-4F2F-A408-B51C2C6560DA,0880018341619,SAKFRÅGAN,4,SD,Thomas,Morell,MAN,1957,1973,349,296,24,0,29,t,JA,t,f,t,f,84.81,6.88,8.31,0.00,52.44,HUVUD,2019/20,UbU13,2020-03-04,1975,62,61,0,0,1,t,f,98.39,0.00,1.61,0.00,70.97
70D3DC8E-3C65-475C-956F-40589DF9E605,0545733815610,SAKFRÅGAN,1,SD,Patrick,Reslow,MAN,1970,1973,349,195,123,0,31,t,NEJ,f,f,f,f,55.87,35.24,8.88,0.00,52.72,HUVUD,2019/20,SkU13,2020-01-29,1976,62,0,59,0,3,f,f,0.00,95.16,4.84,0.00,70.97
BFC6BD3D-CF77-4321-B6F7-F0BB863B1CD1,0860429409414,SAKFRÅGAN,1,KD,Désirée,Pethrus,KVINNA,1959,1963,349,187,95,19,48,t,FRÅNVARANDE,f,f,t,f,53.58,27.22,13.75,5.44,54.44,HUVUD,2010/11,KrU7,2011-03-31,1961,19,17,0,0,2,t,f,89.47,0.00,10.53,0.00,57.89
BE21F895-223B-4C1F-9432-F398A8BFA2C3,0229627943828,SAKFRÅGAN,1,S,Jytte,Guteland,KVINNA,1979,1975,349,245,57,0,47,t,JA,t,f,t,f,70.20,16.33,13.47,0.00,54.44,HUVUD,2024/25,JuU6,2024-11-27,1975,106,92,0,0,14,t,f,86.79,0.00,13.21,0.00,50.00
046F70D4-5914-11D7-AE9B-00047553005B,0730984957305,SAKFRÅGAN,5,L,Anne-Marie,Ekström,KVINNA,1947,1954,349,185,99,0,65,t,NEJ,f,f,f,f,53.01,28.37,18.62,0.00,54.44,HUVUD,2002/03,BOU8,2003-04-01,1956,48,0,34,0,14,f,f,0.00,70.83,29.17,0.00,52.08
0D22AA80-A63A-46B2-AE31-81970AC6381A,033935884729,SAKFRÅGAN,15,C,Martina,Johansson,KVINNA,1975,1975,349,173,108,21,47,t,JA,t,f,t,f,49.57,30.95,13.47,6.02,55.87,HUVUD,2024/25,SkU13,2025-04-23,1972,24,20,0,0,4,t,f,83.33,0.00,16.67,0.00,50.00
EA3773B8-8F49-4857-9962-E987965DF71E,0130640724922,SAKFRÅGAN,6,SD,Clara,Aranda,KVINNA,1988,1973,349,257,23,16,53,t,JA,t,f,t,f,73.64,6.59,15.19,4.58,52.44,HUVUD,2021/22,UU10,2022-06-15,1976,61,54,0,0,7,t,f,88.52,0.00,11.48,0.00,75.41
6AB15A5C-0147-11D7-AE86-0004755038D4,0135730306412,SAKFRÅGAN,10,S,Tommy,Waidelich,MAN,1963,1954,349,281,29,0,39,t,JA,t,f,t,f,80.52,8.31,11.17,0.00,54.73,HUVUD,2002/03,FÖU1,2002-11-26,1954,144,132,0,0,12,t,f,91.67,0.00,8.33,0.00,52.08
5AC24A99-6122-44CB-AD4E-B949095ECF8D,0219220227418,SAKFRÅGAN,1,M,Isabella,Jernbeck,KVINNA,1962,1963,349,297,18,0,34,t,JA,t,f,t,f,85.10,5.16,9.74,0.00,56.45,HUVUD,2013/14,KrU10,2014-06-17,1964,107,99,0,0,8,t,f,92.52,0.00,7.48,0.00,57.01
A50729E9-D22C-4466-9F12-5C70108102A7,0522054204918,SAKFRÅGAN,1,M,Mattias,Karlsson,MAN,1972,1973,349,261,27,13,48,t,JA,t,f,t,f,74.79,7.74,13.75,3.72,53.01,HUVUD,2021/22,KrU5,2022-04-21,1972,70,61,0,0,9,t,f,87.14,0.00,12.86,0.00,47.14
5B71CA7C-1CDD-49D8-92D7-7270126D1BED,0572788110724,SAKFRÅGAN,2,M,Maria,Malmer Stenergard,KVINNA,1981,1970,349,237,38,19,55,t,JA,t,f,t,f,67.91,10.89,15.76,5.44,54.15,HUVUD,2017/18,TU14,2018-05-23,1969,83,73,0,0,10,t,f,87.95,0.00,12.05,0.00,49.40
4C3E13AF-6FB3-4B64-ACEC-22EEE1E2ECF5,0662364517619,SAKFRÅGAN,1,S,Luciano,Astudillo,MAN,1972,1963,349,168,21,118,42,t,AVSTÅR,f,f,t,f,48.14,6.02,12.03,33.81,54.44,HUVUD,2010/11,SkU22,2011-03-07,1962,112,6,1,92,13,t,f,5.36,0.89,11.61,82.14,51.79
1434DCCD-DBD2-4BC7-BED0-693CCBDE1610,0369028728526,SAKFRÅGAN,8,SD,Kent,Ekeroth,MAN,1981,1963,349,164,127,0,58,t,JA,t,f,t,f,46.99,36.39,16.62,0.00,53.87,HUVUD,2010/11,UU10,2011-05-12,1970,20,19,0,0,1,t,f,95.00,0.00,5.00,0.00,85.00
5F2B3AFC-20C3-4E86-9559-DFFBCD223619,0475778011711,SAKFRÅGAN,22,S,Hans,Ekström,MAN,1958,1963,349,176,139,1,33,t,NEJ,f,f,f,f,50.43,39.83,9.46,0.29,56.45,HUVUD,2012/13,UbU7,2013-05-31,1962,112,0,101,0,11,f,f,0.00,90.18,9.82,0.00,51.79
A54B399C-5176-4155-8174-5B670CB3D08C,0279488554424,SAKFRÅGAN,8,SD,Alexander,Christiansson,MAN,1981,1975,349,217,64,21,47,t,FRÅNVARANDE,f,f,f,f,62.18,18.34,13.47,6.02,52.15,HUVUD,2022/23,CU10,2023-04-12,1977,73,0,64,0,9,f,f,0.00,87.67,12.33,0.00,72.60
B86273E5-84C0-4AEC-9E90-1B079B0C5CBF,0133282248705,SAKFRÅGAN,1,L,Helena,Bargholtz,KVINNA,1942,1959,349,168,111,19,51,t,JA,t,f,t,f,48.14,31.81,14.61,5.44,51.86,HUVUD,2008/09,SkU23,2009-03-17,1960,28,23,0,0,5,t,f,82.14,0.00,17.86,0.00,39.29
0873D466-0CDA-40BF-AE98-C28E8A62220A,0956444284814,SAKFRÅGAN,4,MP,Per,Bolund,MAN,1971,1975,349,89,91,119,50,f,AVSTÅR,f,f,f,f,25.50,26.07,14.33,34.10,53.01,HUVUD,2022/23,TU4,2023-03-08,1976,18,0,0,15,3,f,t,0.00,0.00,16.67,83.33,33.33
3C550960-CB88-4C29-9E02-29C941513FDA,0446541913415,SAKFRÅGAN,3,L,Allan,Widman,MAN,1964,1969,349,282,13,0,54,t,JA,t,f,t,f,80.80,3.72,15.47,0.00,54.44,HUVUD,2017/18,SoU17,2018-02-28,1969,19,13,0,0,6,t,f,68.42,0.00,31.58,0.00,57.89
74665AC8-680C-42F9-9A8B-D70E4B75902A,0940980416614,SAKFRÅGAN,2,M,Jan,Ericson,MAN,1961,1963,349,195,119,0,35,t,JA,t,f,t,f,55.87,34.10,10.03,0.00,57.02,HUVUD,2011/12,AU13,2012-05-22,1965,107,98,0,0,9,t,f,91.59,0.00,8.41,0.00,58.88
8CFFC418-946A-4562-83AC-419C2DFEAF8E,037508021018,SAKFRÅGAN,11,V,Torbjörn,Björlund,MAN,1957,1963,349,182,146,1,20,t,NEJ,f,f,f,f,52.15,41.83,5.73,0.29,54.73,HUVUD,2010/11,SfU2,2010-12-02,1960,19,0,17,0,2,f,f,0.00,89.47,10.53,0.00,42.11
945C9E72-C70B-4323-A58B-AA8F7CC0429E,0521260619925,SAKFRÅGAN,1,S,Sofia,Amloh,KVINNA,1986,1973,349,191,22,34,102,t,JA,t,f,t,f,54.73,6.30,29.23,9.74,53.87,HUVUD,2021/22,TU5,2022-02-02,1973,100,71,0,0,29,t,f,71.00,0.00,29.00,0.00,50.00
A03BE532-D124-4B3F-94DE-D75489FD938F,0456305921813,SAKFRÅGAN,3,S,Hans,Olsson,MAN,1951,1963,349,268,39,0,42,t,JA,t,f,t,f,76.79,11.17,12.03,0.00,57.02,HUVUD,2011/12,TU14,2012-05-14,1962,112,96,0,0,16,t,f,85.71,0.00,14.29,0.00,51.79
59C93140-5A55-4BE8-AD6D-5EEAD8A46C1D,0418929039326,SAKFRÅGAN,2,S,Patrik,Lundqvist,MAN,1984,1976,349,222,85,0,42,t,JA,t,f,t,f,63.61,24.36,12.03,0.00,55.59,HUVUD,2024/25,NU4,2025-01-22,1976,106,93,0,0,13,t,f,87.74,0.00,12.26,0.00,50.94
6DB7F8E2-F9DD-4A44-A1FA-B8D6ABDD6910,0792474127508,SAKFRÅGAN,4,S,Karl Gustav,Abramsson,MAN,1947,1959,349,295,19,0,35,t,FRÅNVARANDE,f,f,t,f,84.53,5.44,10.03,0.00,53.01,HUVUD,2009/10,TU22,2010-05-28,1959,130,116,0,0,14,t,f,89.23,0.00,10.77,0.00,52.31
37AAB0E5-F183-4135-9EA2-9317AE26EB1B,0828001951212,SAKFRÅGAN,18,KD,Ingemar,Kihlström,MAN,1966,1973,349,29,23,3,294,t,FRÅNVARANDE,f,f,t,f,8.31,6.59,84.24,0.86,51.86,HUVUD,2019/20,MJU15,2020-05-13,1969,22,3,0,0,19,t,f,13.64,0.00,86.36,0.00,63.64
7D0EAE59-6354-11D7-AF0E-000475530052,0371414788216,SAKFRÅGAN,3,M,Lars,Lindblad,MAN,1971,1954,349,152,123,0,74,t,NEJ,f,f,f,f,43.55,35.24,21.20,0.00,54.44,HUVUD,2002/03,LU13,2003-03-27,1954,55,0,45,0,10,f,f,0.00,81.82,18.18,0.00,60.00
FB815AAB-BABA-4524-A185-DB615E90203A,0538494048717,SAKFRÅGAN,1,SD,Jonas,Andersson,MAN,1972,1973,349,44,10,0,295,t,FRÅNVARANDE,f,f,f,f,12.61,2.87,84.53,0.00,52.44,HUVUD,2019/20,SoU10,2020-04-03,1975,62,0,10,0,52,f,f,0.00,16.13,83.87,0.00,70.97
EDC6C304-6C55-4D59-A6A7-7A2DEF6D8687,0542573140300,SAKFRÅGAN,1,L,Ulf,Nilsson,MAN,1945,1963,349,148,95,55,51,t,JA,t,f,t,f,42.41,27.22,14.61,15.76,54.73,HUVUD,2011/12,FiU1,2011-11-15,1959,24,17,0,0,7,t,f,70.83,0.00,29.17,0.00,54.17
59A38A10-75AA-46BB-B4E8-4D7A9CD51FA7,0150118366721,SAKFRÅGAN,2,V,Linda,Westerlund Snecker,KVINNA,1983,1973,349,262,24,0,63,t,JA,t,f,t,f,75.07,6.88,18.05,0.00,52.72,HUVUD,2021/22,TU16,2022-06-09,1974,27,20,0,0,7,t,f,74.07,0.00,25.93,0.00,29.63
B5C4BCFD-C36E-4299-83ED-E22B8CF31EEE,0739780276601,SAKFRÅGAN,24,KD,Alf,Svensson,MAN,1938,1954,349,142,101,0,106,t,JA,t,f,t,f,40.69,28.94,30.37,0.00,54.44,HUVUD,2005/06,UbU8,2006-02-09,1951,33,23,0,0,10,t,f,69.70,0.00,30.30,0.00,69.70
5E0705E3-D7F1-455D-84F1-8F314B5749ED,0388920259006,SAKFRÅGAN,12,M,Inger,René,KVINNA,1937,1954,349,166,137,0,46,t,FRÅNVARANDE,f,f,f,f,47.56,39.26,13.18,0.00,55.01,HUVUD,2003/04,JUU18,2004-04-01,1953,55,0,45,0,10,f,f,0.00,81.82,18.18,0.00,63.64
891507AE-C17B-4E6F-BE79-2E3EE253D7CC,069436402021,SAKFRÅGAN,6,M,Tomas,Tobé,MAN,1978,1969,349,296,17,0,36,t,FRÅNVARANDE,f,f,t,f,84.81,4.87,10.32,0.00,54.44,HUVUD,2016/17,TU4,2016-12-13,1968,84,77,0,0,7,t,f,91.67,0.00,8.33,0.00,48.81
DF9111B8-7652-4F98-A7AD-282C50FE8A40,069309987221,SAKFRÅGAN,10,M,Johan,Hultberg,MAN,1985,1973,349,37,5,14,293,t,AVSTÅR,f,f,f,f,10.60,1.43,83.95,4.01,52.72,HUVUD,2020/21,MJU13,2021-03-24,1972,70,0,0,11,59,f,t,0.00,0.00,84.29,15.71,47.14
BEDCA977-812B-48A8-89FA-83AAD925BB6E,0482689573825,SAKFRÅGAN,15,S,Björn,Wiechel,MAN,1983,1969,349,165,116,0,68,t,JA,t,f,t,f,47.28,33.24,19.48,0.00,55.01,HUVUD,2015/16,JuU7,2015-12-09,1968,113,94,0,0,19,t,f,83.19,0.00,16.81,0.00,49.56
5040DE08-FBCC-4105-8E15-2D95C706BE00,0125056691517,SAKFRÅGAN,5,KD,Lars-Axel,Nordell,MAN,1952,1969,349,258,65,0,26,t,JA,t,f,t,f,73.93,18.62,7.45,0.00,53.58,HUVUD,2016/17,FöU3,2017-01-18,1966,16,15,0,0,1,t,f,93.75,0.00,6.25,0.00,62.50
C90BBE6C-F123-4EFB-B488-860D3EF3F68C,0480339311713,SAKFRÅGAN,1,KD,Annika,Eclund,KVINNA,1961,1963,349,281,19,0,49,t,JA,t,f,t,f,80.52,5.44,14.04,0.00,57.02,HUVUD,2012/13,NU10,2012-12-06,1962,19,16,0,0,3,t,f,84.21,0.00,15.79,0.00,52.63
C90AB545-5EDC-48CF-92B7-21E52CA27926,0538387395826,SAKFRÅGAN,1,M,Mats,Green,MAN,1979,1969,349,162,137,0,50,t,JA,t,f,t,f,46.42,39.26,14.33,0.00,55.01,HUVUD,2014/15,AU6,2015-02-12,1968,84,72,0,0,12,t,f,85.71,0.00,14.29,0.00,52.38
96937494-F6BD-4E59-9155-1B68538240A3,064711971110,SAKFRÅGAN,4,MP,Maria,Gardfjell,KVINNA,1965,1973,349,246,44,0,59,t,NEJ,f,f,f,f,70.49,12.61,16.91,0.00,53.01,HUVUD,2021/22,UbU31,2022-06-01,1978,16,0,12,0,4,f,f,0.00,75.00,25.00,0.00,25.00
75A9E959-DC78-4970-B353-E69F6D98951C,0980681611418,SAKFRÅGAN,3,M,Hans,Wallmark,MAN,1965,1973,349,112,57,115,65,t,NEJ,f,f,f,f,32.09,16.33,18.62,32.95,53.01,HUVUD,2021/22,UbU20,2022-05-05,1972,70,0,57,0,13,f,f,0.00,81.43,18.57,0.00,47.14
C5EEC6EC-631C-4FE1-A29C-8BA2DAA9CC03,0946889218011,SAKFRÅGAN,2,M,Jan-Evert,Rådhström,MAN,1960,1963,349,173,100,39,37,t,JA,t,f,t,f,49.57,28.65,10.60,11.17,56.73,HUVUD,2013/14,SoU10,2014-03-12,1964,107,100,0,0,7,t,f,93.46,0.00,6.54,0.00,59.81
8E8F4C34-B7D5-4E25-8826-0ECC895A59F5,0284192765516,SAKFRÅGAN,18,S,Tomas,Eneroth,MAN,1966,1954,349,187,112,0,50,t,JA,t,f,t,f,53.58,32.09,14.33,0.00,53.58,HUVUD,2003/04,UBU13,2004-09-09,1954,144,127,0,0,17,t,f,88.19,0.00,11.81,0.00,50.00
BD593CE3-7920-4D63-81FA-54FB6B527670,0395416536118,SAKFRÅGAN,14,V,Siv,Holma,KVINNA,1952,1963,349,197,118,0,34,t,JA,t,f,t,f,56.45,33.81,9.74,0.00,56.45,HUVUD,2013/14,KrU9,2014-06-17,1961,19,17,0,0,2,t,f,89.47,0.00,10.53,0.00,47.37
170EE222-A2EE-4F19-A031-387C7D85F048,0613297818326,SAKFRÅGAN,2,S,Mathias,Tegnér,MAN,1979,1969,349,169,139,1,40,t,NEJ,f,f,f,f,48.42,39.83,11.46,0.29,54.73,HUVUD,2014/15,AU11,2015-06-16,1968,113,1,102,0,10,f,f,0.88,90.27,8.85,0.00,48.67
FB490BE9-BC60-4503-ACF0-B61AACCF8529,0363721826713,SAKFRÅGAN,22,C,Per,Lodenius,MAN,1966,1973,349,179,86,58,26,t,JA,t,f,t,f,51.29,24.64,7.45,16.62,53.30,HUVUD,2018/19,MJU4,2019-02-27,1973,31,30,0,0,1,t,f,96.77,0.00,3.23,0.00,58.06
A1208251-7934-4569-9F0E-D23034573700,0930305890123,SAKFRÅGAN,6,SD,Sara-Lena,Bjälkö,KVINNA,1976,1969,349,262,46,0,41,t,NEJ,f,f,f,f,75.07,13.18,11.75,0.00,54.44,HUVUD,2015/16,MJU17,2016-06-16,1974,48,0,46,0,2,f,f,0.00,95.83,4.17,0.00,77.08
A0298D8B-EBDF-42AB-BB01-98C8AE53A828,0338088431726,SAKFRÅGAN,22,SD,Sara,Gille,KVINNA,1981,1975,349,234,63,0,52,t,NEJ,f,f,f,f,67.05,18.05,14.90,0.00,55.59,HUVUD,2024/25,SfU20,2025-05-15,1977,72,0,62,0,10,f,f,0.00,86.11,13.89,0.00,76.39
F9021A9F-4D7F-11D8-AF57-0004755038E0,0190801883908,SAKFRÅGAN,6,V,Britt-Marie,Danestig,KVINNA,1940,1954,349,205,54,32,58,t,NEJ,f,f,f,f,58.74,15.47,16.62,9.17,55.30,HUVUD,2003/04,NU9,2004-02-17,1953,30,0,25,0,5,f,f,0.00,83.33,16.67,0.00,50.00
C7DEF4C6-4668-4D8E-AF06-7A820A666C39,0194498232620,SAKFRÅGAN,2,S,Roza,Güclü Hedin,KVINNA,1982,1973,349,33,18,4,294,t,FRÅNVARANDE,f,f,f,f,9.46,5.16,84.24,1.15,50.72,HUVUD,2020/21,SfU6,2020-11-11,1972,100,1,15,0,84,f,f,1.00,15.00,84.00,0.00,49.00
23F5D9A8-DFFF-47F8-8448-F07887F92811,0375671185701,SAKFRÅGAN,3,KD,Sven,Brus,MAN,1941,1954,349,164,87,48,50,t,NEJ,f,f,f,f,46.99,24.93,14.33,13.75,53.30,HUVUD,2004/05,SOU6,2004-10-19,1951,33,0,28,0,5,f,f,0.00,84.85,15.15,0.00,69.70
016D04FB-0F08-431B-B10C-61FEE68ACF69,0494054455310,SAKFRÅGAN,8,SD,David,Lång,MAN,1972,1963,349,188,150,0,11,t,JA,t,f,t,f,53.87,42.98,3.15,0.00,57.02,HUVUD,2012/13,TU2,2012-12-07,1969,20,18,0,0,2,t,f,90.00,0.00,10.00,0.00,85.00
725C56FE-234B-490E-9FF4-5025C336FED5,0196024739401,SAKFRÅGAN,2,M,Margareta B,Kjellin,KVINNA,1948,1969,349,262,42,0,45,t,FRÅNVARANDE,f,f,t,f,75.07,12.03,12.89,0.00,53.87,HUVUD,2016/17,SfU8,2017-02-01,1968,84,72,0,0,12,t,f,85.71,0.00,14.29,0.00,48.81
199F23DF-5758-4155-AD27-3C711E9617AD,0964730940415,SAKFRÅGAN,2,S,Johan,Andersson,MAN,1961,1973,349,208,59,45,37,t,JA,t,f,t,f,59.60,16.91,10.60,12.89,52.72,HUVUD,2019/20,SoU3,2019-10-16,1972,100,88,0,0,12,t,f,88.00,0.00,12.00,0.00,50.00
AE7E112C-811E-11D7-AE36-000475504B20,0371414788216,SAKFRÅGAN,15,M,Lars,Lindblad,MAN,1971,1954,349,241,38,0,70,t,FRÅNVARANDE,f,f,t,f,69.05,10.89,20.06,0.00,55.30,HUVUD,2002/03,UU8,2003-05-15,1954,55,42,0,0,13,t,f,76.36,0.00,23.64,0.00,60.00
012F6ACE-7B36-40C3-913B-D09621966B7C,0977824845202,SAKFRÅGAN,1,L,Anita,Brodén,KVINNA,1948,1954,349,238,60,0,51,t,FRÅNVARANDE,f,f,f,f,68.19,17.19,14.61,0.00,54.73,HUVUD,2003/04,SKU6,2003-11-25,1956,48,2,39,0,7,f,f,4.17,81.25,14.58,0.00,50.00
1B0B7408-1E62-11D8-AF32-0004755038E0,0899701619804,SAKFRÅGAN,1,S,Nikos,Papadopoulos,MAN,1939,1954,349,170,140,0,39,t,JA,t,f,t,f,48.71,40.11,11.17,0.00,54.73,HUVUD,2003/04,NU2,2003-11-20,1954,144,133,0,0,11,t,f,92.36,0.00,7.64,0.00,52.78
8E54FEF2-6B1F-4557-8E1E-AA44F4A39256,0958776965517,SAKFRÅGAN,3,S,Lennart,Axelsson,MAN,1952,1963,349,271,17,0,61,t,FRÅNVARANDE,f,f,t,f,77.65,4.87,17.48,0.00,54.44,HUVUD,2010/11,UbU17,2011-06-07,1962,112,86,0,0,26,t,f,76.79,0.00,23.21,0.00,51.79
BC360A72-8028-4C97-B999-0B189F77F913,0279385965920,SAKFRÅGAN,8,C,Kristin,Oretorp,KVINNA,1975,1958,349,148,140,0,61,t,FRÅNVARANDE,f,f,t,f,42.41,40.11,17.48,0.00,51.58,HUVUD,2006/07,TU8,2007-04-02,1956,29,24,0,0,5,t,f,82.76,0.00,17.24,0.00,55.17
E05492A1-E24C-4173-9166-7B8F7C8E7A6F,0910241260018,SAKFRÅGAN,2,S,Kent,Härstedt,MAN,1965,1969,349,277,17,0,55,t,FRÅNVARANDE,f,f,t,f,79.37,4.87,15.76,0.00,54.15,HUVUD,2016/17,JuU9,2017-02-16,1968,113,99,0,0,14,t,f,87.61,0.00,12.39,0.00,48.67
93C1F9FC-45CC-11D9-B05B-0004755048D1,0691468495629,SAKFRÅGAN,23,L,Axel,Darvik,MAN,1982,1954,349,153,156,0,40,f,FRÅNVARANDE,f,f,t,f,43.84,44.70,11.46,0.00,53.30,HUVUD,2004/05,UBU3,2004-11-30,1956,48,0,40,0,8,f,f,0.00,83.33,16.67,0.00,52.08
B91C326E-D52A-4772-9AD8-40FFBD063637,0919433006307,SAKFRÅGAN,10,MP,Agneta,Luttropp,KVINNA,1945,1963,349,274,40,0,35,t,FRÅNVARANDE,f,f,f,f,78.51,11.46,10.03,0.00,57.02,HUVUD,2011/12,UbU15,2012-05-09,1964,25,0,21,0,4,f,f,0.00,84.00,16.00,0.00,52.00
613ABB1D-6BCE-4BBB-82A5-A6B1610053CA,0977557986415,SAKFRÅGAN,2,M,Gunnel,Söderberg,KVINNA,1954,1959,349,138,130,0,81,t,JA,t,f,t,f,39.54,37.25,23.21,0.00,53.01,HUVUD,2009/10,UU11,2010-02-23,1959,96,75,0,0,21,t,f,78.13,0.00,21.88,0.00,56.25
0ADE7B73-6C1A-4E03-87D2-6CE845C253AB,039984931601,SAKFRÅGAN,9,V,Jacob,Johnson,MAN,1948,1958,349,154,124,0,71,t,NEJ,f,f,f,f,44.13,35.53,20.34,0.00,53.01,HUVUD,2007/08,AU1,2007-12-05,1958,22,0,18,0,4,f,f,0.00,81.82,18.18,0.00,40.91
92E13390-1969-4EA1-983A-54BC5E8E6948,0530425150220,SAKFRÅGAN,5,S,Annika,Strandhäll,KVINNA,1975,1973,349,52,3,0,294,t,JA,t,f,t,f,14.90,0.86,84.24,0.00,52.44,HUVUD,2019/20,KrU10,2020-04-29,1972,100,16,0,0,84,t,f,16.00,0.00,84.00,0.00,51.00
84DC5DC0-9D34-4882-AFC5-7C24071BC71B,0264838147315,SAKFRÅGAN,23,S,Catharina,Bråkenhielm,KVINNA,1956,1963,349,289,19,0,41,t,JA,t,f,t,f,82.81,5.44,11.75,0.00,56.45,HUVUD,2012/13,SfU7,2013-04-16,1962,112,96,0,0,16,t,f,85.71,0.00,14.29,0.00,51.79
32153C7C-EEC4-46D6-8721-6E29BC2E68ED,0427321850912,SAKFRÅGAN,23,S,Lars Mejern,Larsson,MAN,1965,1963,349,206,102,18,23,t,NEJ,f,f,f,f,59.03,29.23,6.59,5.16,55.59,HUVUD,2011/12,JuU1,2011-12-08,1962,112,0,102,0,10,f,f,0.00,91.07,8.93,0.00,51.79
7C42B2F2-2EA3-4A7E-B290-4D81F31B47E3,0365797008114,SAKFRÅGAN,60,S,Leif,Pettersson,MAN,1954,1969,349,274,42,0,33,t,JA,t,f,t,f,78.51,12.03,9.46,0.00,54.44,HUVUD,2015/16,JuU20,2016-04-14,1968,113,101,0,0,12,t,f,89.38,0.00,10.62,0.00,50.44
9F5E747B-46B9-47CE-B08A-09ECDA2F2362,0176437434123,MOTIVFRÅGAN,1,M,Jenny,Petersson,KVINNA,1981,1969,349,237,16,45,51,t,JA,t,f,t,f,67.91,4.58,14.61,12.89,55.30,HUVUD,2015/16,UU4,2016-02-10,1968,84,73,0,0,11,t,f,86.90,0.00,13.10,0.00,48.81
