value,count
Klar,40606
Ank T,25409
"",19753
Trycklov,10618
Webbpublicering,3955
Hänvisad,3657
hämtad_2,2521
saknas,471
inträffat,339
Utgången,314
ANKT,292
planerat,269
Original,262
hämtad,237
digitaliserad,223
DokTextExtraktor,132
Granskad,24
Distribution.UttagMo,22
fel,15
felkonverterat,11
Inkommen,6
LagdTillHandlingarna,5
doktextextraktor,4
Pågår,3
html saknas,2
63681,1
63682,1
63683,1
63686,1
63687,1
63688,1
63689,1
63690,1
63691,1
63692,1
63693,1
63696,1
63701,1
63703,1
63704,1
63705,1
63706,1
63707,1
63708,1
63709,1
63711,1
63712,1
63716,1
63717,1
63718,1
63719,1
63720,1
63722,1
63723,1
63724,1
63725,1
63726,1
63727,1
63728,1
63729,1
63730,1
63735,1
63736,1
63738,1
63739,1
63740,1
63741,1
63743,1
63745,1
63746,1
63747,1
63748,1
63749,1
63757,1
63758,1
63759,1
63760,1
63761,1
63762,1
63763,1
63764,1
63768,1
63769,1
63775,1
63776,1
63777,1
63778,1
63789,1
63790,1
63791,1
63792,1
63793,1
63794,1
63795,1
63796,1
63797,1
63798,1
63799,1
63800,1
63801,1
63802,1
63818,1
63819,1
63820,1
63821,1
63822,1
63823,1
63824,1
63825,1
63826,1
63828,1
63829,1
63830,1
63832,1
63833,1
63836,1
63837,1
63838,1
63839,1
63840,1
63841,1
63846,1
63854,1
63876,1
63877,1
63878,1
63892,1
63928,1
AnkT,1
Utgår,1
ank T,1
publicerat,1
slutfört,1
titel,1
