GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ObjectFactory,39,0,0,0,11,0,10,0,10,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPoliticianDocument_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentPersonSummaryEmbeddedId_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentTypeSummaryEmbeddedId_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentOrgSummaryEmbeddedId_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentTypeSummaryEmbeddedId,191,0,10,0,48,0,19,0,14,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenDocumentTypeDailySummary,191,0,10,0,48,0,19,0,14,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPoliticianDocumentDailySummary_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentPartySummaryEmbeddedId_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPartyDocumentDailySummary,191,0,10,0,48,0,19,0,14,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenOrgDocumentDailySummary,247,0,12,0,61,0,23,0,17,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentPersonSummaryEmbeddedId,247,0,12,0,61,0,23,0,17,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentOrgSummaryEmbeddedId,191,0,10,0,48,0,19,0,14,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPoliticianDocumentDailySummary,191,0,10,0,48,0,19,0,14,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenDocumentTypeDailySummary_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentPartySummaryEmbeddedId,247,0,12,0,61,0,23,0,17,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPartyDocumentDailySummary_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPoliticianDocument,1087,0,42,0,256,0,83,0,62,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenOrgDocumentDailySummary_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.user.impl,UserLockStatus,30,0,0,0,5,0,3,0,3,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.user.impl,ObjectFactory,22,0,0,0,5,0,4,0,4,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.user.impl,UserRole,40,0,0,0,6,0,3,0,3,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.user.impl,UserAccount_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.user.impl,UserEmailStatus,30,0,0,0,5,0,3,0,3,0
