GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.api,com.hack23.cia.service.api.action.admin,UpdateApplicationConfigurationRequest,0,52,0,0,0,23,0,15,0,15
service.api,com.hack23.cia.service.api.action.admin,RefreshDataViewsRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.admin,SendEmailResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.admin,RemoveDataRequest.DataType,0,21,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.admin,UpdateSearchIndexResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.admin,ManageUserAccountRequest.AccountOperation,0,39,0,0,0,7,0,1,0,1
service.api,com.hack23.cia.service.api.action.admin,ManageUserAccountResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.admin,RefreshDataViewsResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.admin,ManageUserAccountRequest,0,24,0,0,0,11,0,7,0,7
service.api,com.hack23.cia.service.api.action.admin,UpdateSearchIndexRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.admin,RemoveDataResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.admin,SendEmailRequest,0,31,0,0,0,14,0,9,0,9
service.api,com.hack23.cia.service.api.action.admin,RemoveDataRequest,0,17,0,0,0,8,0,5,0,5
service.api,com.hack23.cia.service.api.action.admin,UpdateApplicationConfigurationResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.user,DeleteAccountRequest,0,17,0,0,0,8,0,5,0,5
service.api,com.hack23.cia.service.api.action.user,SearchDocumentRequest,0,24,0,0,0,11,0,7,0,7
service.api,com.hack23.cia.service.api.action.user,DeleteAccountResponse,0,43,1,1,0,16,1,9,0,9
service.api,com.hack23.cia.service.api.action.user,SetGoogleAuthenticatorCredentialRequest,0,17,0,0,0,8,0,5,0,5
service.api,com.hack23.cia.service.api.action.user,SearchDocumentResponse,0,36,1,1,0,13,1,7,0,7
service.api,com.hack23.cia.service.api.action.user,DisableGoogleAuthenticatorCredentialRequest,0,17,0,0,0,8,0,5,0,5
service.api,com.hack23.cia.service.api.action.user,ChangePasswordResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.user,DisableGoogleAuthenticatorCredentialResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.user,SetGoogleAuthenticatorCredentialResponse,0,43,1,1,0,16,1,9,0,9
service.api,com.hack23.cia.service.api.action.user,ChangePasswordRequest,0,31,0,0,0,14,0,9,0,9
service.api,com.hack23.cia.service.api.action.application,RegisterUserResponse.ErrorMessage,0,9,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.application,LogoutResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.application,CreateApplicationSessionRequest,0,59,0,0,0,26,0,17,0,17
service.api,com.hack23.cia.service.api.action.application,LoginResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.application,LoginResponse.ErrorMessage,0,9,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.application,LoginRequest,0,31,0,0,0,14,0,9,0,9
service.api,com.hack23.cia.service.api.action.application,CreateApplicationSessionResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.application,CreateApplicationEventResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.application,RegisterUserRequest,0,45,0,0,0,20,0,13,0,13
service.api,com.hack23.cia.service.api.action.application,LogoutRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.application,CreateApplicationEventRequest,2,73,0,0,1,32,1,21,1,21
service.api,com.hack23.cia.service.api.action.application,DestroyApplicationSessionResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.application,DestroyApplicationSessionRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.application,RegisterUserResponse,0,11,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.common,AbstractResponse,6,10,0,0,2,5,2,2,2,2
service.api,com.hack23.cia.service.api.action.common,AbstractRequest,0,3,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.common,ServiceResponse.ServiceResult,0,15,0,0,0,3,0,1,0,1
service.api,com.hack23.cia.service.api.action.common,AbstractMessage,0,18,0,0,0,5,0,4,0,4
